date,chinese ,isHoliday,holidayCategory,description
2016/2/21,,是,星期六、星期日,
2016/2/27,,是,星期六、星期日,
2016/2/28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月二十九日補假一日。
2016/2/29,,是,補假,
2016/3/5,,是,星期六、星期日,
2016/3/6,,是,星期六、星期日,
2016/3/12,,是,星期六、星期日,
2016/3/13,,是,星期六、星期日,
2016/3/19,,是,星期六、星期日,
2016/3/20,,是,星期六、星期日,
2016/3/26,,是,星期六、星期日,
2016/3/27,,是,星期六、星期日,
2016/4/2,,是,星期六、星期日,
2016/4/3,,是,放假之紀念日及節日,
2016/4/4,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日放假，並於四月五日補假一日)。
2016/4/5,,是,補假,
2016/4/9,,是,星期六、星期日,
2016/4/10,,是,星期六、星期日,
2016/4/16,,是,星期六、星期日,
2016/4/17,,是,星期六、星期日,
2016/4/23,,是,星期六、星期日,
2016/4/24,,是,星期六、星期日,
2016/4/30,,是,星期六、星期日,
2016/5/1,勞動節,否,特定節日,勞工放假一日。
2016/5/7,,是,星期六、星期日,
2016/5/8,,是,星期六、星期日,
2016/5/14,,是,星期六、星期日,
2016/5/15,,是,星期六、星期日,
2016/5/21,,是,星期六、星期日,
2016/5/22,,是,星期六、星期日,
2016/5/28,,是,星期六、星期日,
2016/5/29,,是,星期六、星期日,
2016/6/4,,否,補行上班日,
2016/6/5,,是,星期六、星期日,
2016/6/9,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整六月十日為放假日，並於六月四日補行上班一日。
2016/6/10,,是,調整放假日,
2016/6/11,,是,星期六、星期日,
2016/6/12,,是,星期六、星期日,
2016/6/18,,是,星期六、星期日,
2016/6/19,,是,星期六、星期日,
2016/6/25,,是,星期六、星期日,
2016/6/26,,是,星期六、星期日,
2016/7/2,,是,星期六、星期日,
2016/7/3,,是,星期六、星期日,
2016/7/9,,是,星期六、星期日,
2016/7/10,,是,星期六、星期日,
2016/7/16,,是,星期六、星期日,
2016/7/17,,是,星期六、星期日,
2016/7/23,,是,星期六、星期日,
2016/7/24,,是,星期六、星期日,
2016/7/30,,是,星期六、星期日,
2016/7/31,,是,星期六、星期日,
2016/8/6,,是,星期六、星期日,
2016/8/7,,是,星期六、星期日,
2016/8/13,,是,星期六、星期日,
2016/8/14,,是,星期六、星期日,
2016/8/20,,是,星期六、星期日,
2016/8/21,,是,星期六、星期日,
2016/8/27,,是,星期六、星期日,
2016/8/28,,是,星期六、星期日,
2016/9/3,軍人節,否,特定節日,軍人依國防部規定辦理。
2016/9/4,,是,星期六、星期日,
2016/9/10,,否,補行上班日,
2016/9/11,,是,星期六、星期日,
2016/9/15,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整九月十六日為放假日，並於九月十日補行上班一日。
2016/9/16,,是,調整放假日,
2016/9/17,,是,星期六、星期日,
2016/9/18,,是,星期六、星期日,
2016/9/24,,是,星期六、星期日,
2016/9/25,,是,星期六、星期日,
2016/10/1,,是,星期六、星期日,
2016/10/2,,是,星期六、星期日,
2016/10/8,,是,星期六、星期日,
2016/10/9,,是,星期六、星期日,
2016/10/10,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
2016/10/15,,是,星期六、星期日,
2016/10/16,,是,星期六、星期日,
2016/10/22,,是,星期六、星期日,
2016/10/23,,是,星期六、星期日,
2016/10/29,,是,星期六、星期日,
2016/10/30,,是,星期六、星期日,
2016/11/5,,是,星期六、星期日,
2016/11/6,,是,星期六、星期日,
2016/11/12,,是,星期六、星期日,
2016/11/13,,是,星期六、星期日,
2016/11/19,,是,星期六、星期日,
2016/11/20,,是,星期六、星期日,
2016/11/26,,是,星期六、星期日,
2016/11/27,,是,星期六、星期日,
2016/12/3,,是,星期六、星期日,
2016/12/4,,是,星期六、星期日,
2016/12/10,,是,星期六、星期日,
2016/12/11,,是,星期六、星期日,
2016/12/17,,是,星期六、星期日,
2016/12/18,,是,星期六、星期日,
2016/12/24,,是,星期六、星期日,
2016/12/25,,是,星期六、星期日,
2016/12/31,,是,星期六、星期日,
2017/1/1,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於一月二日補假一日。
2017/1/2,,是,補假,
2017/1/7,,是,星期六、星期日,
2017/1/8,,是,星期六、星期日,
2017/1/14,,是,星期六、星期日,
2017/1/15,,是,星期六、星期日,
2017/1/21,,是,星期六、星期日,
2017/1/22,,是,星期六、星期日,
2017/1/27,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
2017/1/28,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
2017/1/29,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
2017/1/30,春節,是,放假之紀念日及節日,全國各機關學校於一月二十八日至一月三十日放假三日，其中春節初一、初二適逢星期六、日，分別於一月三十一日及二月一日補假一日。
2017/1/31,,是,補假,
2017/2/1,,是,補假,
2017/2/4,,是,星期六、星期日,
2017/2/5,,是,星期六、星期日,
2017/2/11,,是,星期六、星期日,
2017/2/12,,是,星期六、星期日,
2017/2/18,,否,補行上班日,
2017/2/19,,是,星期六、星期日,
2017/2/25,,是,星期六、星期日,
2017/2/26,,是,星期六、星期日,
2017/2/27,,是,調整放假日,
2017/2/28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整二月二十七日為放假日，並於二月十八日補行上班一日。
2017/3/4,,是,星期六、星期日,
2017/3/5,,是,星期六、星期日,
2017/3/11,,是,星期六、星期日,
2017/3/12,,是,星期六、星期日,
2017/3/18,,是,星期六、星期日,
2017/3/19,,是,星期六、星期日,
2017/3/25,,是,星期六、星期日,
2017/3/26,,是,星期六、星期日,
2017/4/1,,是,星期六、星期日,
2017/4/2,,是,星期六、星期日,
2017/4/3,,是,放假之紀念日及節日,全國各機關學校放假一日。
2017/4/4,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日即四月三日放假)。
2017/4/8,,是,星期六、星期日,
2017/4/9,,是,星期六、星期日,
2017/4/15,,是,星期六、星期日,
2017/4/16,,是,星期六、星期日,
2017/4/22,,是,星期六、星期日,
2017/4/23,,是,星期六、星期日,
2017/4/29,,是,星期六、星期日,
2017/4/30,,是,星期六、星期日,
2017/5/1,勞動節,否,特定節日,勞工放假一日。
2017/5/6,,是,星期六、星期日,
2017/5/7,,是,星期六、星期日,
2017/5/13,,是,星期六、星期日,
2017/5/14,,是,星期六、星期日,
2017/5/20,,是,星期六、星期日,
2017/5/21,,是,星期六、星期日,
2017/5/27,,是,星期六、星期日,
2017/5/28,,是,星期六、星期日,
2017/5/29,,是,調整放假日,
2017/5/30,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整五月二十九日為放假日，並於六月三日補行上班一日。
2017/6/3,,否,補行上班日,
2017/6/4,,是,星期六、星期日,
2017/6/10,,是,星期六、星期日,
2017/6/11,,是,星期六、星期日,
2017/6/17,,是,星期六、星期日,
2017/6/18,,是,星期六、星期日,
2017/6/24,,是,星期六、星期日,
2017/6/25,,是,星期六、星期日,
2017/7/1,,是,星期六、星期日,
2017/7/2,,是,星期六、星期日,
2017/7/8,,是,星期六、星期日,
2017/7/9,,是,星期六、星期日,
2017/7/15,,是,星期六、星期日,
2017/7/16,,是,星期六、星期日,
2017/7/22,,是,星期六、星期日,
2017/7/23,,是,星期六、星期日,
2017/7/29,,是,星期六、星期日,
2017/7/30,,是,星期六、星期日,
2017/8/5,,是,星期六、星期日,
2017/8/6,,是,星期六、星期日,
2017/8/12,,是,星期六、星期日,
2017/8/13,,是,星期六、星期日,
2017/8/19,,是,星期六、星期日,
2017/8/20,,是,星期六、星期日,
2017/8/26,,是,星期六、星期日,
2017/8/27,,是,星期六、星期日,
2017/9/2,,是,星期六、星期日,
2017/9/3,軍人節,否,特定節日,軍人依國防部規定辦理。
2017/9/9,,是,星期六、星期日,
2017/9/10,,是,星期六、星期日,
2017/9/16,,是,星期六、星期日,
2017/9/17,,是,星期六、星期日,
2017/9/23,,是,星期六、星期日,
2017/9/24,,是,星期六、星期日,
2017/9/30,,否,補行上班日,
2017/10/1,,是,星期六、星期日,
2017/10/4,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
2017/10/7,,是,星期六、星期日,
2017/10/8,,是,星期六、星期日,
2017/10/9,,是,調整放假日,
2017/10/10,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整十月九日為放假日，並於九月三十日補行上班一日。
2017/10/14,,是,星期六、星期日,
2017/10/15,,是,星期六、星期日,
2017/10/21,,是,星期六、星期日,
2017/10/22,,是,星期六、星期日,
2017/10/28,,是,星期六、星期日,
2017/10/29,,是,星期六、星期日,
2017/11/4,,是,星期六、星期日,
2017/11/5,,是,星期六、星期日,
2017/11/11,,是,星期六、星期日,
2017/11/12,,是,星期六、星期日,
2017/11/18,,是,星期六、星期日,
2017/11/19,,是,星期六、星期日,
2017/11/25,,是,星期六、星期日,
2017/11/26,,是,星期六、星期日,
2017/12/2,,是,星期六、星期日,
2017/12/3,,是,星期六、星期日,
2017/12/9,,是,星期六、星期日,
2017/12/10,,是,星期六、星期日,
2017/12/16,,是,星期六、星期日,
2017/12/17,,是,星期六、星期日,
2017/12/23,,是,星期六、星期日,
2017/12/24,,是,星期六、星期日,
2017/12/30,,是,星期六、星期日,
2017/12/31,,是,星期六、星期日,
